date,close,volume,open,high,low
1/31/2018,167.43,32234520,166.87,168.4417,166.5
1/30/2018,166.97,45635470,165.525,167.37,164.7
1/29/2018,167.96,50565420,170.16,170.16,167.07
1/26/2018,171.51,39075250,172,172,170.06
1/25/2018,171.11,41438280,174.505,174.95,170.53
1/24/2018,174.22,51368540,177.25,177.3,173.2
1/23/2018,177.04,32395870,177.3,179.44,176.82
1/22/2018,177,27052000,177.3,177.78,176.6016
1/19/2018,178.46,31306390,178.61,179.58,177.41
1/18/2018,179.26,31087330,179.37,180.1,178.25
1/17/2018,179.1,34260230,176.15,179.25,175.07
1/16/2018,176.19,29512410,177.9,179.39,176.14
